t,x,y,z,yaw
0.5068995952606201,2.201408863067627,4.6699934005737305,-1.833601951599121,-0.04005767032504082
1.0071840286254883,2.3844287395477295,4.843606948852539,-1.9341022968292236,-0.0441715382039547
1.5067827701568604,2.5781755447387695,5.018594741821289,-2.0380828380584717,-0.04567597806453705
2.0059292316436768,2.7808003425598145,5.192811012268066,-2.1451468467712402,-0.048928018659353256
2.5061111450195312,2.9889256954193115,5.363744735717773,-2.253129005432129,-0.04816781356930733
3.0059876441955566,3.209455728530884,5.536636829376221,-2.365664482116699,-0.02122744731605053
3.5054421424865723,3.4361841678619385,5.707918167114258,-2.480227470397949,-0.030514715239405632
4.005248546600342,3.6713509559631348,5.878787040710449,-2.595644474029541,-0.031031088903546333
4.504701852798462,3.9161782264709473,6.049245357513428,-2.7132647037506104,-0.03165891766548157
5.00438380241394,4.172196865081787,6.22035026550293,-2.834404468536377,-0.03697432205080986
5.503663063049316,4.434112548828125,6.388427257537842,-2.956388235092163,-0.042951833456754684
6.004026174545288,4.712620735168457,6.561021327972412,-3.083467721939087,-0.04225565493106842
6.503177881240845,5.002166271209717,6.73390007019043,-3.2131216526031494,-0.04386945813894272
7.002597332000732,5.3030924797058105,6.907009124755859,-3.3460652828216553,-0.057071488350629807
7.501592397689819,5.6166090965271,7.081183433532715,-3.4819579124450684,-0.05464455485343933
8.001997232437134,5.939997673034668,7.255805969238281,-3.6202147006988525,-0.05116924270987511
8.502215147018433,6.268610000610352,7.428152561187744,-3.7589685916900635,-0.05780278891324997
9.001559972763062,6.614086151123047,7.60480260848999,-3.903383493423462,-0.05551675707101822
9.501177310943604,6.9714131355285645,7.783722400665283,-4.050848960876465,-0.04667285457253456
10.000226736068726,7.340688705444336,7.963902473449707,-4.201617240905762,-0.03757054731249809
10.500134229660034,7.721086502075195,8.144959449768066,-4.355240345001221,-0.03335774689912796
10.999731540679932,8.113712310791016,8.327064514160156,-4.512596130371094,-0.03766591474413872
11.499642372131348,8.518919944763184,8.511674880981445,-4.673573017120361,-0.03411753475666046
11.999265432357788,8.927886962890625,8.693448066711426,-4.83383846282959,-0.033102285116910934
12.498607158660889,9.355452537536621,8.879249572753906,-4.999324798583984,-0.04293157532811165
12.997920036315918,9.796216011047363,9.065862655639648,-5.168235778808594,-0.04528142884373665
13.497103214263916,10.2452392578125,9.251843452453613,-5.339233875274658,-0.04527697712182999
13.998310804367065,10.704814910888672,9.437844276428223,-5.513311862945557,-0.05221522971987724
14.497803926467896,11.176268577575684,9.62368106842041,-5.691598892211914,-0.047291796654462814
14.996899604797363,11.64602279663086,9.804736137390137,-5.868609428405762,-0.04592087119817734
15.495922803878784,12.135780334472656,9.988824844360352,-6.052172660827637,-0.04261789843440056
